Male Electors,Male Voters,Female Electors,Female Voters,Total Electors,Total Voters
930007,601374,887933,591828,1817940,1193202
863920,579152,828582,592036,1692502,1171188
928572,632047,889575,540582,1818147,1172629
879526,508738,819875,473381,1699401,982119
904030,581524,850847,522566,1754877,1104090
913386,634766,831153,520194,1744539,1154960
868977,635659,800865,510705,1669842,1146364
190886,158222,179725,150745,370611,308967
852794,645535,850039,608905,1702833,1254440
707696,464795,714690,445319,1422386,910114
901207,552474,894573,528689,1795780,1081163
665278,422278,662749,392616,1328027,814894
982862,666226,963641,620421,1946503,1286647
736993,575483,743130,552916,1480123,1128399
692883,543546,708662,545506,1401545,1089052
652064,483973,660187,490797,1312251,974770
705468,545948,674489,522443,1379957,1068391
696496,567633,661777,533712,1358273,1101345
675321,529027,677645,538420,1352966,1067447
683921,548023,685747,548023,1369668,1096046
694932,537023,692075,530618,1387007,1067641
707219,542991,705280,564250,1412499,1107241
759981,593783,738369,556513,1498350,1150296
661113,526519,668439,532236,1329552,1058755
656659,511553,664736,497029,1321395,1008582
697730,543998,677859,506192,1375589,1050190
629731,473163,639432,459913,1269163,933076
869034,608666,851177,567954,1720211,1176620
686943,514739,694562,497928,1381505,1012667
696160,538540,704371,544824,1400531,1083364
641693,511860,656629,534674,1298322,1046534
689228,492050,697912,496200,1387140,988250
634285,500157,651149,530669,1285434,1030826
625652,486263,622256,498275,1247908,984538
686864,531368,679325,557055,1366189,1088423
679940,503949,670378,521589,1350318,1025538
606339,454047,604287,488155,1210626,942202
662576,482240,677474,530018,1340050,1012258
704489,475004,707884,552032,1412373,1027036
717175,486336,724259,492010,1441434,978346
720709,529187,720593,546396,1441302,1075583
669589,497074,680906,513856,1350495,1010930
731467,465888,724424,535160,1455891,1001048
651366,449405,659231,467373,1310597,916778
688958,490748,693123,527190,1382081,1017938
705592,469328,714843,493002,1420435,962330
743378,489129,724418,501613,1467796,990742
635976,546566,612574,526183,1248550,1072749
581599,489156,558670,461954,1140269,951110
873318,653286,735515,541022,1608833,1194308
840623,618538,691132,500786,1531755,1119324
875186,620606,713297,486828,1588483,1107434
848606,577146,713459,483200,1562065,1060346
795554,484006,697857,458190,1493411,942196
961962,627713,810084,500252,1772046,1127965
872084,526970,744900,429419,1616984,956389
